fabricant;modele;annee;prix_Eur;puissance_cumul_Ch;couple_cumul_Nm;tps_acc_0_100_Sec;vitesse_max_Km_h;position_moteur_1;puissance_moteur_1_Ch;type_moteur_1;couple_moteur_1_Nm;position_moteur_2;puissance_moteur_2_Ch;type_moteur_2;couple_moteur_2_Nm;position_moteur_3;puissance_moteur_3_Ch;type_moteur_3;couple_moteur_3_Nm;homologation_autonomie;capacite_nominale_brute_KWh;capacite_utile_nette_KWh;prise_charge_AC;prise_charge_DC;vitesse_charge_AC_KW;vitesse_charge_AC_option_KW;vitesse_charge_DC_KW;vitesse_charge_DC_option_KW;refroidissement;temps_charge_DC_0_80;temps_charge_AC_0_80_prise_dom_2_3kW;temps_charge_AC_0_80_prise_dom_renforcee_3kW;autonomie_electrique_mixte_Km;conso_electrique_KWh_100km;pompe_chaleur;motricite;rapports;longueur_M;empattement_M;hauteur_M;largeur_M;coffre_L;poids_Kg;coffre_avant_arriere_L;essieu_avant;essieu_arriere;base_chassis;plateforme;pneus;pneus_arriere
Jaguar;I-Pace EV320;2020;70350;320;500;6.4;180;Avant;;Aimant permanent (synchrone);;Arrière;;Aimant permanent (synchrone);;;;;;WLTP;90;84.7;Type 2;CCS Combo;11;;100;;Liquide;56 min. à 100 kW;31h42;24h18;470;;Oui;4X4;1;4.682;2.99;1.565;2.011;505.0;2133.0;;Double triangle;Multibras;Electrique;;235/65 R 18;
Mercedes;EQC 400 4MAtic;2019;79250;408;760;5.1;180;Avant;;A induction (asynchrone);;Arrière;;A induction (asynchrone);;;;;;WLTP;85;80;Type 2;CCS Combo;7.4;;110;;Liquide;48 min. à 110 kW;29h56;22h57;475;19.7 ;Oui;4X4;1;4.761;2.873;1.623;1.884;500.0;2495.0;;Double triangle;Multibras;Thermique;MFA;235/55 R 19;
Mercedes;EQE 300;2022;75000;245;550;7.3;210;Arrière;245;Aimant permanent (synchrone);550;;;;;;;;;WLTP;100;90;Type 2;CCS Combo;11;22;170;;Liquide;29 min. à 170 kW / 41 min. à 120 kW;35h13;27h00;639;15.7 ;Oui;Propulsion;1;4.946;3.12;1.503;1.906;430.0;2385.0;;Double triangle;Multibras;Electrique;;255/45 R 19;
Mercedes;EQE 350;2022;78900;292;565;6.4;210;Arrière;292;Aimant permanent (synchrone);565;;;;;;;;;WLTP;100;90;Type 2;CCS Combo;11;22;170;;Liquide;29 min. à 170 kW / 41 min. à 120 kW;35h13;27h00;639;15.7 ;Oui;Propulsion;1;4.946;3.12;1.503;1.906;430.0;2385.0;;Double triangle;Multibras;Electrique;;255/45 R 19;
Mercedes;EQV 300;2022;74046;204;362;12.1;160;Avant;204;Aimant permanent (synchrone);362;;;;;;;;;WLTP;100;90;Type 2;CCS Combo;11;;110;;1;45 min. à 110 kW;35h13;27h00;353;28.3 ;Oui;Traction;1;5.14;3.2;1.901;1.928;1030.0;2814.0;;Macpherson;Multibras;Thermique;;245/55 R 17;
Mercedes;EQV 300 Extra long;2022;74868;204;362;12.2;160;Avant;204;Aimant permanent (synchrone);362;;;;;;;;;WLTP;100;90;Type 2;CCS Combo;11;;110;;1;45 min. à 110 kW;35h13;27h00;351;28.5 ;Oui;Traction;1;5.37;3.2;1.901;1.928;1410.0;2844.0;;Macpherson;Multibras;Thermique;;245/55 R 17;
Audi;E-tron 55 Quattro;2020;84200;360;664;5.7;200;Avant;170;A induction (asynchrone);;Arrière;190;A induction (asynchrone);;;;;;WLTP;95;86;Type 2;CCS Combo;11;;150;;Liquide;32 min. à 150 kW / 39 min. à 120 kW;33h27;25h39;437;22.3 ;Oui;4X4;1;4.901;2.928;1.629;1.935;660.0;2555.0;60/600;Double triangle;Multibras;Thermique;MLB;255/50 R 20;
Audi;E-tron Sportback 55 Quattro;2020;86800;360;664;5.7;200;Avant;170;A induction (asynchrone);;Arrière;190;A induction (asynchrone);;;;;;WLTP;95;86;Type 2;CCS Combo;11;;150;;Liquide;32 min. à 150 kW / 39 min. à 120 kW;33h27;25h39;446;21.9 ;Oui;4X4;1;4.901;2.928;1.616;1.935;660.0;2555.0;60/600;Double triangle;Multibras;Thermique;MLB;255/50 R 20;
BMW;iX xDrive40;2021;86250;326;630;6.1;200;Avant;;A excitation (synchrone);;Arrière;;A excitation (synchrone);;;;;;WLTP;76.6;71;Type 2;CCS Combo;11;;150;;Liquide;32 min. à 150 kW / 36 min. à 120 kW;27h07;20h47;425;19.4 ;Oui;4X4;1;4.953;3.0;1.695;1.967;500.0;2440.0;;Double triangle;Multibras;Thermique;CLAR;235/60 R 20;
Audi;E-tron S Quattro;2021;96600;503;973;4.5;210;Avant;170;A induction (asynchrone);;Arrière;129;A induction (asynchrone);;Arrière;129;A induction (asynchrone);;WLTP;95;86;Type 2;CCS Combo;11;;150;;Liquide;32 min. à 150 kW / 39 min. à 120 kW;33h27;25h39;372;26.2 ;Oui;4X4;1;4.902;2.928;1.629;1.935;660.0;2445.0;60/600;Double triangle;Multibras;Thermique;MLB;255/50 R 20;
Audi;E-Tron GT RS;2021;101500;598;830;3.3;250;Avant;238;A induction (asynchrone);;Arrière;456;Aimant permanent (synchrone);;;;;;WLTP;93.4;87.3;Type 2;CCS Combo;22;;270;;Liquide;29 min. à 270 kW / 41 min. à 120 kW;32h45;25h07;465;21 ;Oui;4X4;2;4.989;2.9;1.414;1.964;435.0;2422.0;85/350;Double triangle;Multibras;Electrique;PPE;245/45 R 20;285/40 R 20
Audi;E-tron Sportback S Quattro;2020;99200;503;973;4.5;210;Avant;170;A induction (asynchrone);;Arrière;129;A induction (asynchrone);;Arrière;129;A induction (asynchrone);;WLTP;95;86;Type 2;CCS Combo;11;;150;;Liquide;32 min. à 150 kW / 39 min. à 120 kW;33h27;25h39;378;25.8 ;Oui;4X4;1;4.902;2.928;1.616;1.935;660.0;2555.0;60/600;Double triangle;Multibras;Thermique;MLB;255/50 R 20;
BMW;iX xDrive50;2021;110000;523;765;4.6;200;Avant;;A excitation (synchrone);;Arrière;;A excitation (synchrone);;;;;;WLTP;111.5;105.2;Type 2;CCS Combo;11;;200;;Liquide;28 min. à 200 kW / 46 min. à 120 kW;39h27;30h14;720;19.8 ;Oui;4X4;1;4.953;3.0;1.695;1.967;500.0;2585.0;;Double triangle;Multibras;Thermique;CLAR;235/60 R 20;
Porsche;Taycan 4S;2020;108600;435;640;4.0;250;Avant;;Aimant permanent (synchrone);;Arrière;;Aimant permanent (synchrone);;;;;;WLTP;79.2;71;Type 2;CCS Combo;22;;270;;Liquide;25 min. à 270 kW / 35 min. à 120 kW;27h49;21h20;407;24.6 ;Oui;4X4;2;4.963;2.9;1.379;1.966;488.0;2215.0;81/407;Double triangle;Multibras;Electrique;PPE;225/45 R 19;275/45 R 19
Porsche;Taycan 4S;2020;115200;490;650;4.0;250;Avant;;Aimant permanent (synchrone);;Arrière;;Aimant permanent (synchrone);;;;;;WLTP;93.4;83.7;Type 2;CCS Combo;22;;270;;Liquide;29 min. à 270 kW / 41 min. à 120 kW;32h45;25h07;463;25.6 ;Oui;4X4;2;4.963;2.9;1.379;1.966;488.0;2295.0;81/407;Double triangle;Multibras;Electrique;PPE;225/45 R 19;275/45 R 19
Porsche;Taycan Cross Turismo 4;2021;96454;380;500;5.1;220;Avant;;Aimant permanent (synchrone);;Arrière;;Aimant permanent (synchrone);;;;;;WLTP;93.4;83.7;Type 2;CCS Combo;22;;270;;Liquide;29 min. à 270 kW / 41 min. à 120 kW;32h45;25h07;456;28.1 ;Oui;4X4;2;4.974;2.9;1.41;1.967;530.0;2320.0;84/446;Double triangle;Multibras;Electrique;PPE;225/45 R 19;275/45 R 19
Porsche;Taycan Cross Turismo 4S;2021;114800;490;650;4.1;240;Avant;;Aimant permanent (synchrone);;Arrière;;Aimant permanent (synchrone);;;;;;WLTP;93.4;83.7;Type 2;CCS Combo;22;;270;;Liquide;29 min. à 270 kW / 41 min. à 120 kW;32h45;25h07;452;28.1 ;Oui;4X4;2;4.974;2.9;1.41;1.967;530.0;2320.0;84/446;Double triangle;Multibras;Electrique;PPE;225/45 R 19;275/45 R 19
Tesla;Model S Long Range;2018;99990;520;660;4.4;250;Avant;;Aimant permanent + réluctance variable (synchrone);;Arrière;;A induction (asynchrone);;;;;;WLTP;98;93;Type 2;Type 2;22;;200;;Liquide;31 min. à 200 kW / 42 min. à 120 kW;34h31;26h28;652;;Oui;4X4;1;4.98;2.96;1.44;1.96;740.0;2215.0;90/650;Double triangle;Multibras;Electrique;;245/45 R 19;
Tesla;Model X Long Range;2018;99990;760;980;4.6;250;Avant;;Aimant permanent + réluctance variable (synchrone);;Arrière;;A induction (asynchrone);;;;;;WLTP;98;93;Type 2;Type 2;22;;200;;Liquide;31 min. à 200 kW / 42 min. à 120 kW;34h31;26h28;507;;Non;4X4;1;5.04;2.97;1.68;2.0;845.0;2535.0;125/720;Double triangle;Multibras;Electrique;;255/45 R 20;
Audi;E-Tron GT Quattro;2021;140700;476;630;4.1;245;Avant;238;A induction (asynchrone);;Arrière;435;Aimant permanent (synchrone);;;;;;WLTP;93.4;87.3;Type 2;CCS Combo;22;;270;;Liquide;29 min. à 270 kW / 41 min. à 120 kW;32h45;25h07;488;20.8 ;Oui;4X4;2;4.989;2.9;1.414;1.964;490.0;2276.0;85/405;Double triangle;Multibras;Electrique;PPE;225/45 R 19;275/45 R 19
BMW;iX M60;2021;132000;540;1100;3.8;250;Avant;;A excitation (synchrone);;Arrière;;A excitation (synchrone);;;;;;WLTP;111.5;105.2;Type 2;CCS Combo;11;;200;;Liquide;28 min. à 200 kW / 46 min. à 120 kW;39h27;30h14;720;19.8 ;Oui;4X4;1;4.953;3.0;1.695;1.967;500.0;2659.0;;Double triangle;Multibras;Thermique;CLAR;235/60 R 20;
Mercedes;EQS 450;2021;127250;333;565;6.2;210;Arrière;333;Aimant permanent (synchrone);565;;;;;;;;;WLTP;120;107.8;Type 2;CCS Combo;11;;200;;Liquide;30 min. à 200 kW / 50 min. à 120 kW;42h16;32h24;729;17 ;Oui;Propulsion;1;5.322;3.21;1.512;1.926;610.0;2480.0;;Double triangle;Multibras;Electrique;;235/55 R 19 ;
Mercedes;EQS 580 4Matic;2021;152800;523;855;4.3;210;Avant;;Aimant permanent (synchrone);;Arrière;;Aimant permanent (synchrone);;;;;;WLTP;120;107.8;Type 2;CCS Combo;11;;200;;Liquide;30 min. à 200 kW / 50 min. à 120 kW;42h16;32h24;651;19.1 ;Oui;4X4;1;5.322;3.21;1.512;1.926;610.0;2585.0;;Double triangle;Multibras;Electrique;;255/45 R 20 ;
Porsche;Taycan Turbo;2020;155500;625;850;3.2;260;Avant;;Aimant permanent (synchrone);;Arrière;;Aimant permanent (synchrone);;;;;;WLTP;93.4;83.7;Type 2;CCS Combo;22;;270;;Liquide;29 min. à 270 kW / 41 min. à 120 kW;32h45;25h07;450;26 ;Oui;4X4;2;4.963;2.9;1.379;1.966;447.0;2380.0;81/366;Double triangle;Multibras;Electrique;PPE;245/45 R 20;285/40 R 20
Porsche;Taycan Turbo S;2020;189150;625;1050;2.8;260;Avant;;Aimant permanent (synchrone);;Arrière;;Aimant permanent (synchrone);;;;;;WLTP;93.4;83.7;Type 2;CCS Combo;22;;270;;Liquide;29 min. à 270 kW / 41 min. à 120 kW;32h45;25h07;412;26.9 ;Oui;4X4;2;4.963;2.9;1.379;1.966;447.0;2370.0;81/366;Double triangle;Multibras;Electrique;PPE;265/35 R 21;305/30 R 21
Porsche;Taycan Cross Turismo Turbo;2021;157774;625;850;3.3;250;Avant;;Aimant permanent (synchrone);;Arrière;;Aimant permanent (synchrone);;;;;;WLTP;93.4;83.7;Type 2;CCS Combo;22;;270;;Liquide;29 min. à 270 kW / 41 min. à 120 kW;32h45;25h07;452;28.7 ;Oui;4X4;2;4.974;2.9;1.41;1.967;489.0;2395.0;84/405;Double triangle;Multibras;Electrique;PPE;245/45 R 20;285/40 R 20
Porsche;Taycan Cross Turismo Turbo S;2021;191400;625;1050;2.9;250;Avant;;Aimant permanent (synchrone);;Arrière;;Aimant permanent (synchrone);;;;;;WLTP;93.4;83.7;Type 2;CCS Combo;22;;270;;Liquide;29 min. à 270 kW / 41 min. à 120 kW;32h45;25h07;419;29.4 ;Oui;4X4;2;4.974;2.9;1.41;1.967;489.0;2395.0;84/405;Double triangle;Multibras;Electrique;PPE;265/35 R 21;305/30 R 21
